# Make sure 'Google' container exists before import (create if needed)

*.g.co , Google
*.goo.gl , Google
*.google , Google
*.google.ae , Google
*.google.am , Google
*.google.as , Google
*.google.at , Google
*.google.az , Google
*.google.ba , Google
*.google.be , Google
*.google.bg , Google
*.google.bi , Google
*.google.bs , Google
*.google.ca , Google
*.google.cd , Google
*.google.cg , Google
*.google.ch , Google
*.google.ci , Google
*.google.cl , Google
*.google.co.bw , Google
*.google.co.ck , Google
*.google.co.cr , Google
*.google.co.hu , Google
*.google.co.id , Google
*.google.co.il , Google
*.google.co.im , Google
*.google.co.in , Google
*.google.co.je , Google
*.google.co.jp , Google
*.google.co.ke , Google
*.google.co.kr , Google
*.google.co.ls , Google
*.google.co.ma , Google
*.google.co.nz , Google
*.google.co.th , Google
*.google.co.ug , Google
*.google.co.uk , Google
*.google.co.uz , Google
*.google.co.ve , Google
*.google.co.vi , Google
*.google.co.za , Google
*.google.co.zm , Google
*.google.com , Google
*.google.com.af , Google
*.google.com.ag , Google
*.google.com.ar , Google
*.google.com.au , Google
*.google.com.bd , Google
*.google.com.bo , Google
*.google.com.br , Google
*.google.com.bz , Google
*.google.com.co , Google
*.google.com.cu , Google
*.google.com.do , Google
*.google.com.ec , Google
*.google.com.eg , Google
*.google.com.et , Google
*.google.com.fj , Google
*.google.com.gi , Google
*.google.com.gt , Google
*.google.com.hk , Google
*.google.com.jm , Google
*.google.com.kw , Google
*.google.com.ly , Google
*.google.com.mt , Google
*.google.com.mx , Google
*.google.com.my , Google
*.google.com.na , Google
*.google.com.nf , Google
*.google.com.ni , Google
*.google.com.np , Google
*.google.com.om , Google
*.google.com.pa , Google
*.google.com.pe , Google
*.google.com.ph , Google
*.google.com.pk , Google
*.google.com.pr , Google
*.google.com.py , Google
*.google.com.qa , Google
*.google.com.sa , Google
*.google.com.sb , Google
*.google.com.sg , Google
*.google.com.sv , Google
*.google.com.tj , Google
*.google.com.tr , Google
*.google.com.tw , Google
*.google.com.ua , Google
*.google.com.uy , Google
*.google.com.uz , Google
*.google.com.vc , Google
*.google.com.vn , Google
*.google.cz , Google
*.google.de , Google
*.google.dj , Google
*.google.dk , Google
*.google.dm , Google
*.google.ee , Google
*.google.es , Google
*.google.fi , Google
*.google.fm , Google
*.google.fr , Google
*.google.gg , Google
*.google.gl , Google
*.google.gm , Google
*.google.gr , Google
*.google.hn , Google
*.google.hr , Google
*.google.ht , Google
*.google.hu , Google
*.google.ie , Google
*.google.is , Google
*.google.it , Google
*.google.jo , Google
*.google.kg , Google
*.google.kz , Google
*.google.li , Google
*.google.lk , Google
*.google.lt , Google
*.google.lu , Google
*.google.lv , Google
*.google.md , Google
*.google.mn , Google
*.google.ms , Google
*.google.mu , Google
*.google.mw , Google
*.google.net , Google
*.google.nl , Google
*.google.no , Google
*.google.nr , Google
*.google.nu , Google
*.google.off.ai , Google
*.google.org , Google
*.google.pl , Google
*.google.pn , Google
*.google.pt , Google
*.google.ro , Google
*.google.ru , Google
*.google.rw , Google
*.google.sc , Google
*.google.se , Google
*.google.sh , Google
*.google.si , Google
*.google.sk , Google
*.google.sm , Google
*.google.sn , Google
*.google.tm , Google
*.google.to , Google
*.google.tp , Google
*.google.tt , Google
*.google.tv , Google
*.google.uz , Google
*.google.vg , Google
*.google.vu , Google
*.google.ws , Google
*.gooogle.com , Google
*.gstatic.com , Google
*.googleusercontent.com , Google
*.youtube , Google
*.youtube.com , Google
*.youtu.be , Google
*.ytimg.com , Google
